2017-02-28 08:57:45,832 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-02-28 09:07:48,227 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @619023ms
2017-02-28 09:07:48,376 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2017-02-28 09:07:48,490 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@21551781{/help,null,AVAILABLE}
2017-02-28 09:07:48,509 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@4d0fd36d{HTTP/1.1,[http/1.1]}{127.0.0.1:49745}
2017-02-28 09:07:48,509 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @619306ms
2017-02-28 09:17:11,346 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@4d0fd36d{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-02-28 09:17:11,364 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@21551781{/help,null,UNAVAILABLE}
2017-03-02 08:04:30,757 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-03-03 08:11:18,428 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-03-05 19:51:46,162 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-03-06 08:20:43,581 [Worker-6] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-03-07 08:14:50,127 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-03-09 08:08:43,688 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-03-12 20:54:46,497 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-03-13 19:27:33,939 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-03-14 08:35:43,325 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-03-16 08:15:51,135 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
